t,p_used_tokens,p_usage,p_used_gb,p_running,p_queue,p_capacity,d_used_tokens,d_usage,d_used_gb,d_running,d_queue,d_capacity,d_transfer_req,d_prealloc_req
19.752,,,,,,85172.0,,,,,,85172.0,,
20.261,,,,,,85172.0,,,,,,85172.0,,
20.77,,,,,,85172.0,,,,,,85172.0,,
21.279,,,,,,85172.0,,,,,,85172.0,,
21.789,,,,,,85172.0,,,,,,85172.0,,
22.332,,,,,,85172.0,,,,,,85172.0,,
22.874,,,,,,85172.0,,,,,,85172.0,,
23.432,,,,,,85172.0,,,,,,85172.0,,
23.991,,,,,,85172.0,,,,,,85172.0,,
24.548,,,,,,85172.0,,,,,,85172.0,,
25.108,,,,,,85172.0,,,,,,85172.0,,
25.667,,,,,,85172.0,,,,,,85172.0,,
26.227,,,,,,85172.0,,,,,,85172.0,,
26.785,,,,,,85172.0,,,,,,85172.0,,
27.345,,,,,,85172.0,,,,,,85172.0,,
27.904,,,,,,85172.0,,,,,,85172.0,,
28.463,,,,,,85172.0,,,,,,85172.0,,
29.022,,,,,,85172.0,,,,,,85172.0,,
29.582,,,,,,85172.0,,,,,,85172.0,,
30.142,,,,,,85172.0,,,,,,85172.0,,
30.702,,,,,,85172.0,,,,,,85172.0,,
31.262,,,,,,85172.0,,,,,,85172.0,,
31.822,,,,,,85172.0,,,,,,85172.0,,
32.382,,,,,,85172.0,,,,,,85172.0,,
32.942,,,,,,85172.0,,,,,,85172.0,,
33.502,,,,,,85172.0,,,,,,85172.0,,
34.021,,,,,,85172.0,,,,,,85172.0,,
34.54,,,,,,85172.0,,,,,,85172.0,,
35.059,,,,,,85172.0,,,,,,85172.0,,
35.578,,,,,,85172.0,,,,,,85172.0,,
36.097,,,,,,85172.0,,,,,,85172.0,,
36.615,,,,,,85172.0,,,,,,85172.0,,
37.134,,,,,,85172.0,,,,,,85172.0,,
37.653,,,,,,85172.0,,,,,,85172.0,,
38.172,,,,,,85172.0,,,,,,85172.0,,
38.691,,,,,,85172.0,,,,,,85172.0,,
39.21,,,,,,85172.0,,,,,,85172.0,,
39.728,,,,,,85172.0,,,,,,85172.0,,
40.247,,,,,,85172.0,,,,,,85172.0,,
40.767,,,,,,85172.0,,,,,,85172.0,,
41.286,,,,,,85172.0,,,,,,85172.0,,
41.805,,,,,,85172.0,,,,,,85172.0,,
42.324,,,,,,85172.0,,,,,,85172.0,,
42.843,,,,,,85172.0,,,,,,85172.0,,
43.362,,,,,,85172.0,,,,,,85172.0,,
43.936,,,,,,85172.0,,,,,,85172.0,,
44.49,,,,,,85172.0,,,,,,85172.0,,
45.052,,,,,,85172.0,,,,,,85172.0,,
45.572,,,,,,85172.0,,,,,,85172.0,,
46.134,,,,,,85172.0,,,,,,85172.0,,
46.654,,,,,,85172.0,,,,,,85172.0,,
47.173,,,,,,85172.0,,,,,,85172.0,,
47.693,,,,,,85172.0,,,,,,85172.0,,
48.212,,,,,,85172.0,,,,,,85172.0,,
48.729,,,,,,85172.0,,,,,,85172.0,,
49.252,,,,,,85172.0,,,,,,85172.0,,
49.771,,,,,,85172.0,,,,,,85172.0,,
50.291,,,,,,85172.0,,,,,,85172.0,,
50.807,,,,,,85172.0,,,,,,85172.0,,
51.331,,,,,,85172.0,,,,,,85172.0,,
51.851,,,,,,85172.0,,,,,,85172.0,,
52.371,,,,,,85172.0,,,,,,85172.0,,
52.891,,,,,,85172.0,,,,,,85172.0,,
53.411,,,,,,85172.0,,,,,,85172.0,,
53.931,,,,,,85172.0,,,,,,85172.0,,
54.448,,,,,,85172.0,,,,,,85172.0,,
54.968,,,,,,85172.0,,,,,,85172.0,,
55.477,,,,,,85172.0,,,,,,85172.0,,
55.987,,,,,,85172.0,,,,,,85172.0,,
56.497,,,,,,85172.0,,,,,,85172.0,,
57.006,,,,,,85172.0,,,,,,85172.0,,
57.516,,,,,,85172.0,,,,,,85172.0,,
58.025,,,,,,85172.0,,,,,,85172.0,,
58.535,,,,,,85172.0,,,,,,85172.0,,
59.045,,,,,,85172.0,,,,,,85172.0,,
59.554,,,,,,85172.0,,,,,,85172.0,,
60.063,,,,,,85172.0,,,,,,85172.0,,
60.573,,,,,,85172.0,,,,,,85172.0,,
61.082,,,,,,85172.0,,,,,,85172.0,,
61.591,,,,,,85172.0,,,,,,85172.0,,
62.101,,,,,,85172.0,,,,,,85172.0,,
62.61,,,,,,85172.0,,,,,,85172.0,,
63.119,,,,,,85172.0,,,,,,85172.0,,
63.628,,,,,,85172.0,,,,,,85172.0,,
64.137,,,,,,85172.0,,,,,,85172.0,,
64.646,,,,,,85172.0,,,,,,85172.0,,
65.155,,,,,,85172.0,,,,,,85172.0,,
65.685,,,,,,85172.0,,,,,,85172.0,,
66.209,,,,,,85172.0,,,,,,85172.0,,
66.732,,,,,,85172.0,,,,,,85172.0,,
67.259,,,,,,85172.0,,,,,,85172.0,,
67.777,,,,,,85172.0,,,,,,85172.0,,
68.3,,,,,,85172.0,,,,,,85172.0,,
68.824,,,,,,85172.0,,,,,,85172.0,,
69.351,,,,,,85172.0,,,,,,85172.0,,
69.874,,,,,,85172.0,,,,,,85172.0,,
70.397,,,,,,85172.0,,,,,,85172.0,,
70.92,,,,,,85172.0,,,,,,85172.0,,
71.444,,,,,,85172.0,,,,,,85172.0,,
71.967,,,,,,85172.0,,,,,,85172.0,,
72.491,,,,,,85172.0,,,,,,85172.0,,
73.014,,,,,,85172.0,,,,,,85172.0,,
73.537,,,,,,85172.0,,,,,,85172.0,,
74.061,,,,,,85172.0,,,,,,85172.0,,
74.584,,,,,,85172.0,,,,,,85172.0,,
75.105,,,,,,85172.0,,,,,,85172.0,,
75.632,,,,,,85172.0,,,,,,85172.0,,
76.156,,,,,,85172.0,,,,,,85172.0,,
76.679,,,,,,85172.0,,,,,,85172.0,,
77.203,,,,,,85172.0,,,,,,85172.0,,
77.722,,,,,,85172.0,,,,,,85172.0,,
78.241,,,,,,85172.0,,,,,,85172.0,,
78.754,,,,,,85172.0,,,,,,85172.0,,
79.273,,,,,,85172.0,,,,,,85172.0,,
79.792,,,,,,85172.0,,,,,,85172.0,,
80.311,,,,,,85172.0,,,,,,85172.0,,
80.82,,,,,,85172.0,,,,,,85172.0,,
81.339,,,,,,85172.0,,,,,,85172.0,,
81.858,,,,,,85172.0,,,,,,85172.0,,
82.377,,,,,,85172.0,,,,,,85172.0,,
82.888,,,,,,85172.0,,,,,,85172.0,,
83.401,,,,,,85172.0,,,,,,85172.0,,
83.926,,,,,,85172.0,,,,,,85172.0,,
84.445,,,,,,85172.0,,,,,,85172.0,,
84.964,,,,,,85172.0,,,,,,85172.0,,
85.483,,,,,,85172.0,,,,,,85172.0,,
86.002,,,,,,85172.0,,,,,,85172.0,,
86.521,,,,,,85172.0,,,,,,85172.0,,
87.039,,,,,,85172.0,,,,,,85172.0,,
87.678,,,,,,85172.0,,,,,,85172.0,,
88.189,,,,,,85172.0,,,,,,85172.0,,
88.724,,,,,,85172.0,,,,,,85172.0,,
89.251,,,,,,85172.0,,,,,,85172.0,,
89.777,,,,,,85172.0,,,,,,85172.0,,
90.303,,,,,,85172.0,,,,,,85172.0,,
90.827,,,,,,85172.0,,,,,,85172.0,,
91.356,,,,,,85172.0,,,,,,85172.0,,
91.883,,,,,,85172.0,,,,,,85172.0,,
92.409,,,,,,85172.0,,,,,,85172.0,,
92.936,,,,,,85172.0,,,,,,85172.0,,
93.462,,,,,,85172.0,,,,,,85172.0,,
93.989,,,,,,85172.0,,,,,,85172.0,,
94.516,,,,,,85172.0,,,,,,85172.0,,
95.042,,,,,,85172.0,,,,,,85172.0,,
95.569,,,,,,85172.0,,,,,,85172.0,,
96.096,,,,,,85172.0,,,,,,85172.0,,
96.623,,,,,,85172.0,,,,,,85172.0,,
97.15,,,,,,85172.0,,,,,,85172.0,,
97.677,,,,,,85172.0,,,,,,85172.0,,
98.204,,,,,,85172.0,,,,,,85172.0,,
98.731,,,,,,85172.0,,,,,,85172.0,,
99.258,,,,,,85172.0,,,,,,85172.0,,
99.777,,,,,,85172.0,,,,,,85172.0,,
100.296,,,,,,85172.0,,,,,,85172.0,,
100.806,,,,,,85172.0,,,,,,85172.0,,
101.325,,,,,,85172.0,,,,,,85172.0,,
101.834,,,,,,85172.0,,,,,,85172.0,,
102.353,,,,,,85172.0,,,,,,85172.0,,
102.872,,,,,,85172.0,,,,,,85172.0,,
103.391,,,,,,85172.0,,,,,,85172.0,,
103.901,,,,,,85172.0,,,,,,85172.0,,
104.42,,,,,,85172.0,,,,,,85172.0,,
104.939,,,,,,85172.0,,,,,,85172.0,,
105.448,,,,,,85172.0,,,,,,85172.0,,
105.957,,,,,,85172.0,,,,,,85172.0,,
106.466,,,,,,85172.0,,,,,,85172.0,,
106.975,,,,,,85172.0,,,,,,85172.0,,
107.484,,,,,,85172.0,,,,,,85172.0,,
107.993,,,,,,85172.0,,,,,,85172.0,,
108.502,,,,,,85172.0,,,,,,85172.0,,
109.011,,,,,,85172.0,,,,,,85172.0,,
109.823,,,,,,85172.0,,,,,,85172.0,,
110.336,,,,,,85172.0,,,,,,85172.0,,
110.89,,,,,,85172.0,,,,,,85172.0,,
111.419,,,,,,85172.0,,,,,,85172.0,,
111.949,,,,,,85172.0,,,,,,85172.0,,
112.479,,,,,,85172.0,,,,,,85172.0,,
113.008,,,,,,85172.0,,,,,,85172.0,,
113.538,,,,,,85172.0,,,,,,85172.0,,
114.068,,,,,,85172.0,,,,,,85172.0,,
114.593,,,,,,85172.0,,,,,,85172.0,,
115.123,,,,,,85172.0,,,,,,85172.0,,
115.653,,,,,,85172.0,,,,,,85172.0,,
116.183,,,,,,85172.0,,,,,,85172.0,,
116.714,,,,,,85172.0,,,,,,85172.0,,
117.243,,,,,,85172.0,,,,,,85172.0,,
117.773,,,,,,85172.0,,,,,,85172.0,,
118.303,,,,,,85172.0,,,,,,85172.0,,
118.833,,,,,,85172.0,,,,,,85172.0,,
119.363,,,,,,85172.0,,,,,,85172.0,,
119.896,,,,,,85172.0,,,,,,85172.0,,
120.424,,,,,,85172.0,,,,,,85172.0,,
120.955,,,,,,85172.0,,,,,,85172.0,,
121.485,,,,,,85172.0,,,,,,85172.0,,
121.994,,,,,,85172.0,,,,,,85172.0,,
122.503,,,,,,85172.0,,,,,,85172.0,,
123.014,,,,,,85172.0,,,,,,85172.0,,
123.524,,,,,,85172.0,,,,,,85172.0,,
124.034,,,,,,85172.0,,,,,,85172.0,,
124.542,,,,,,85172.0,,,,,,85172.0,,
125.052,,,,,,85172.0,,,,,,85172.0,,
125.561,,,,,,85172.0,,,,,,85172.0,,
126.072,,,,,,85172.0,,,,,,85172.0,,
126.581,,,,,,85172.0,,,,,,85172.0,,
127.09,,,,,,85172.0,,,,,,85172.0,,
127.599,,,,,,85172.0,,,,,,85172.0,,
128.109,,,,,,85172.0,,,,,,85172.0,,
128.618,,,,,,85172.0,,,,,,85172.0,,
129.128,,,,,,85172.0,,,,,,85172.0,,
129.638,,,,,,85172.0,,,,,,85172.0,,
130.147,,,,,,85172.0,,,,,,85172.0,,
130.657,,,,,,85172.0,,,,,,85172.0,,
131.167,,,,,,85172.0,,,,,,85172.0,,
131.676,,,,,,85172.0,,,,,,85172.0,,
132.187,,,,,,85172.0,,,,,,85172.0,,
132.7,,,,,,85172.0,,,,,,85172.0,,
133.229,,,,,,85172.0,,,,,,85172.0,,
133.762,,,,,,85172.0,,,,,,85172.0,,
134.295,,,,,,85172.0,,,,,,85172.0,,
134.828,,,,,,85172.0,,,,,,85172.0,,
135.361,,,,,,85172.0,,,,,,85172.0,,
135.894,,,,,,85172.0,,,,,,85172.0,,
136.427,,,,,,85172.0,,,,,,85172.0,,
136.96,,,,,,85172.0,,,,,,85172.0,,
137.493,,,,,,85172.0,,,,,,85172.0,,
138.026,,,,,,85172.0,,,,,,85172.0,,
138.559,,,,,,85172.0,,,,,,85172.0,,
139.093,,,,,,85172.0,,,,,,85172.0,,
139.626,,,,,,85172.0,,,,,,85172.0,,
140.159,,,,,,85172.0,,,,,,85172.0,,
140.693,,,,,,85172.0,,,,,,85172.0,,
141.227,,,,,,85172.0,,,,,,85172.0,,
141.76,,,,,,85172.0,,,,,,85172.0,,
142.294,,,,,,85172.0,,,,,,85172.0,,
142.828,,,,,,85172.0,,,,,,85172.0,,
143.358,,,,,,85172.0,,,,,,85172.0,,
143.891,,,,,,85172.0,,,,,,85172.0,,
144.4,,,,,,85172.0,,,,,,85172.0,,
144.909,,,,,,85172.0,,,,,,85172.0,,
145.418,,,,,,85172.0,,,,,,85172.0,,
145.928,,,,,,85172.0,,,,,,85172.0,,
146.437,,,,,,85172.0,,,,,,85172.0,,
146.949,,,,,,85172.0,,,,,,85172.0,,
147.468,,,,,,85172.0,,,,,,85172.0,,
147.987,,,,,,85172.0,,,,,,85172.0,,
148.506,,,,,,85172.0,,,,,,85172.0,,
149.024,,,,,,85172.0,,,,,,85172.0,,
149.543,,,,,,85172.0,,,,,,85172.0,,
150.062,,,,,,85172.0,,,,,,85172.0,,
150.581,,,,,,85172.0,,,,,,85172.0,,
151.1,,,,,,85172.0,,,,,,85172.0,,
151.618,,,,,,85172.0,,,,,,85172.0,,
152.137,,,,,,85172.0,,,,,,85172.0,,
152.656,,,,,,85172.0,,,,,,85172.0,,
153.175,,,,,,85172.0,,,,,,85172.0,,
153.694,,,,,,85172.0,,,,,,85172.0,,
154.212,,,,,,85172.0,,,,,,85172.0,,
154.723,,,,,,85172.0,,,,,,85172.0,,
155.234,,,,,,85172.0,,,,,,85172.0,,
155.771,,,,,,85172.0,,,,,,85172.0,,
156.307,,,,,,85172.0,,,,,,85172.0,,
156.844,,,,,,85172.0,,,,,,85172.0,,
157.38,,,,,,85172.0,,,,,,85172.0,,
157.916,,,,,,85172.0,,,,,,85172.0,,
158.453,,,,,,85172.0,,,,,,85172.0,,
158.989,,,,,,85172.0,,,,,,85172.0,,
159.526,,,,,,85172.0,,,,,,85172.0,,
160.062,,,,,,85172.0,,,,,,85172.0,,
160.599,,,,,,85172.0,,,,,,85172.0,,
161.135,,,,,,85172.0,,,,,,85172.0,,
161.672,,,,,,85172.0,,,,,,85172.0,,
162.209,,,,,,85172.0,,,,,,85172.0,,
162.745,,,,,,85172.0,,,,,,85172.0,,
163.282,,,,,,85172.0,,,,,,85172.0,,
163.819,,,,,,85172.0,,,,,,85172.0,,
164.356,,,,,,85172.0,,,,,,85172.0,,
164.893,,,,,,85172.0,,,,,,85172.0,,
165.429,,,,,,85172.0,,,,,,85172.0,,
165.972,,,,,,85172.0,,,,,,85172.0,,
166.504,,,,,,85172.0,,,,,,85172.0,,
167.023,,,,,,85172.0,,,,,,85172.0,,
167.542,,,,,,85172.0,,,,,,85172.0,,
168.051,,,,,,85172.0,,,,,,85172.0,,
168.57,,,,,,85172.0,,,,,,85172.0,,
169.089,,,,,,85172.0,,,,,,85172.0,,
169.608,,,,,,85172.0,,,,,,85172.0,,
170.122,,,,,,85172.0,,,,,,85172.0,,
170.639,,,,,,85172.0,,,,,,85172.0,,
171.154,,,,,,85172.0,,,,,,85172.0,,
171.662,,,,,,85172.0,,,,,,85172.0,,
172.171,,,,,,85172.0,,,,,,85172.0,,
172.69,,,,,,85172.0,,,,,,85172.0,,
173.21,,,,,,85172.0,,,,,,85172.0,,
173.727,,,,,,85172.0,,,,,,85172.0,,
174.251,,,,,,85172.0,,,,,,85172.0,,
174.761,,,,,,85172.0,,,,,,85172.0,,
175.27,,,,,,85172.0,,,,,,85172.0,,
175.781,,,,,,85172.0,,,,,,85172.0,,
176.291,,,,,,85172.0,,,,,,85172.0,,
176.8,,,,,,85172.0,,,,,,85172.0,,
177.31,,,,,,85172.0,,,,,,85172.0,,
177.819,,,,,,85172.0,,,,,,85172.0,,
178.328,,,,,,85172.0,,,,,,85172.0,,
178.839,,,,,,85172.0,,,,,,85172.0,,
179.349,,,,,,85172.0,,,,,,85172.0,,
